V,n,p,neff_re,neff_im,I
0.0,97516245606474.3,132215031354907.6,2.8486460908618523,2.0419206469669534e-09,-1.2556176847598817e-30
0.10416666666666667,97516266647816.72,132215051793712.81,2.8486460820767796,2.0679266559992445e-09,3.495008344823548e-13
0.20833333333333334,97516288447479.73,132215073009120.05,2.8486460461405767,2.211558204132278e-09,6.466957998263773e-12
0.3125,97516311789623.9,132215095795202.48,2.8486458973168305,3.0672498088307313e-09,8.152338915872652e-11
0.4166666666666667,97516339775205.23,132215123266411.58,2.8486452844712016,8.391649962949602e-09,1.108919813803513e-09
0.5208333333333334,97516392594976.42,132215175587923.53,2.8486426166973797,4.3985224376824926e-08,2.993019410009166e-08
0.625,97516674764098.98,132215457151770.27,2.848629000640432,3.090721213339581e-07,1.3400448531340606e-06
0.7291666666666667,97518918428654.28,132217699845705.42,2.8485568976850955,2.2878797413021907e-06,7.0731192994063e-05
0.8333333333333334,97535375163558.84,132234155212129.52,2.8481879843790803,1.6219780893541357e-05,0.0034929379614378293
0.9375,97628096640229.1,132326875057201.7,2.846705786984251,8.912899163124765e-05,0.10209218775482982
1.0416666666666667,97865209457358.8,132563987494638.94,2.84385236911896,0.0002558316000401828,0.8159962496125901
1.1458333333333335,98148862448796.67,132847641714682.47,2.841032726583254,0.0004368642937750638,2.329185734779549
1.25,98417268608521.89,133116049589140.81,2.838651464352512,0.0005976769817637751,4.305225396291796
1.3541666666666667,98662850225901.89,133361633074305.56,2.8366264517274047,0.0007387419278923361,6.535800985949228
1.4583333333333335,98887872168542.5,133586656941318.05,2.8348653089094324,0.0008640961203194141,8.9223924399617
1.5625,99095502349897.11,133794289069902.9,2.8333040338049877,0.0009770350070138257,11.413782874410558
1.6666666666666667,99288478988237.25,133987267665406.33,2.8318990718503048,0.0010799733655928333,13.98043231569887
1.7708333333333335,99469005968289.03,134167796607382.55,2.830619845243796,0.0011746859728097073,16.60385972151419
1.875,99638842427016.33,134337635030742.84,2.8294441221213695,0.0012625059602538544,19.271760022696217
1.9791666666666667,99799402974724.23,134498197545038.64,2.8283552271974233,0.001344458612327586,21.975533048225714
2.0833333333333335,99951838329881.3,134650634868538.38,2.827340317605521,0.0014213496543935868,24.708931162854917
2.1875,100097095881461.84,134795894390243.11,2.8263892788791387,0.0014938243609761543,27.46727069699401
2.291666666666667,100235964583505.23,134934765064289.45,2.825493993229687,0.0015624080585320472,30.24694764300527
2.3958333333333335,100369108382045.12,135067910836838.92,2.824647839223065,0.0016275345603283381,33.04512713614851
2.5,100497091365526.2,135195895796443.33,2.8238453401298593,0.0016895665908596,35.85953701868527
