sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
137,4.64E-07,1.00E-07,1.18E+20,1.31E-06,6.16E-07,7.50E-04,8.68E-01,6.51E-01,1.52E+01,4.42E+03,6.22E+01,TRUE,7.60E-01,8.14E-01,6.20E-01,4.56E+02,9.62E+01,5.67E+02,1.70E-06,5.10E-04,4.68E+02,6.14E-01,1.35E+04
138,4.99E-07,1.20E-07,1.56E+20,1.31E-06,6.26E-09,7.75E-04,,1.94E+00,7.86E+04,,1.00E+00,FALSE,3.93E+03,2.42E+00,1.66E+02,4.95E+02,1.00E+02,6.09E+02,5.11E-07,7.86E+04,7.86E+04,1.30E+00,1.02E+04
139,4.64E-07,1.00E-07,1.24E+20,1.31E-06,6.08E-07,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.35E+03,6.25E+01,TRUE,7.59E-01,8.15E-01,6.20E-01,4.46E+02,9.60E+01,5.57E+02,1.68E-06,6.38E-04,4.69E+02,6.19E-01,1.33E+04
140,4.64E-07,1.00E-07,1.27E+20,1.31E-06,6.05E-07,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.33E+03,6.26E+01,TRUE,7.59E-01,8.15E-01,6.20E-01,4.32E+02,9.60E+01,5.43E+02,1.67E-06,7.06E-04,4.69E+02,6.21E-01,1.33E+04
141,3.69E-07,1.00E-07,9.66E+20,1.31E-06,2.80E-07,6.15E-04,8.78E-01,5.40E-01,2.00E+01,2.85E+03,6.27E+01,TRUE,1.00E+00,6.76E-01,7.29E-01,5.51E+02,9.90E+01,6.65E+02,9.28E-07,8.35E-01,5.92E+02,8.98E-01,7.57E+03
142,3.74E-07,1.00E-07,8.74E+20,1.31E-06,4.47E-07,5.63E-04,8.89E-01,5.01E-01,2.12E+01,3.50E+03,5.71E+01,TRUE,1.06E+00,6.26E-01,7.58E-01,5.50E+02,9.88E+01,6.63E+02,1.27E-06,8.35E-02,5.88E+02,7.48E-01,8.52E+03
143,4.65E-07,1.00E-07,1.33E+20,1.31E-06,5.97E-07,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.27E+03,6.27E+01,TRUE,7.59E-01,8.15E-01,6.20E-01,4.38E+02,9.64E+01,5.49E+02,1.66E-06,9.32E-04,4.71E+02,6.25E-01,1.31E+04
144,4.65E-07,9.00E-08,1.34E+20,1.31E-06,5.95E-07,7.51E-04,8.66E-01,6.50E-01,1.52E+01,3.86E+03,6.38E+01,TRUE,7.61E-01,8.13E-01,6.20E-01,3.94E+02,9.40E+01,5.03E+02,1.65E-06,1.42E-03,4.81E+02,6.13E-01,1.21E+04
145,4.65E-07,9.00E-08,1.37E+20,1.31E-06,5.93E-07,7.50E-04,8.66E-01,6.49E-01,1.52E+01,3.85E+03,6.38E+01,TRUE,7.62E-01,8.11E-01,6.20E-01,3.80E+02,9.39E+01,4.89E+02,1.65E-06,1.51E-03,4.82E+02,6.14E-01,1.20E+04
146,4.65E-07,9.00E-08,1.37E+20,1.31E-06,5.91E-07,7.51E-04,8.66E-01,6.50E-01,1.52E+01,3.84E+03,6.39E+01,TRUE,7.61E-01,8.13E-01,6.20E-01,3.90E+02,9.38E+01,4.99E+02,1.65E-06,1.60E-03,4.81E+02,6.16E-01,1.20E+04
147,4.65E-07,9.00E-08,1.39E+20,1.31E-06,5.88E-07,7.52E-04,8.66E-01,6.51E-01,1.52E+01,3.83E+03,6.40E+01,TRUE,7.60E-01,8.13E-01,6.20E-01,4.00E+02,9.37E+01,5.09E+02,1.64E-06,1.73E-03,4.82E+02,6.17E-01,1.20E+04
148,4.65E-07,9.00E-08,1.38E+20,1.31E-06,5.87E-07,7.52E-04,8.66E-01,6.51E-01,1.52E+01,3.82E+03,6.40E+01,TRUE,7.60E-01,8.14E-01,6.20E-01,4.00E+02,9.39E+01,5.09E+02,1.64E-06,1.82E-03,4.82E+02,6.18E-01,1.20E+04
149,4.66E-07,1.00E-07,1.40E+20,1.31E-06,5.85E-07,7.52E-04,8.67E-01,6.53E-01,1.52E+01,4.21E+03,6.29E+01,TRUE,7.58E-01,8.16E-01,6.20E-01,4.51E+02,9.81E+01,5.63E+02,1.64E-06,1.29E-03,4.72E+02,6.30E-01,1.29E+04
150,4.65E-07,9.00E-08,1.40E+20,1.31E-06,5.87E-07,7.53E-04,8.66E-01,6.52E-01,1.52E+01,3.81E+03,6.42E+01,TRUE,7.59E-01,8.15E-01,6.20E-01,4.04E+02,9.58E+01,5.15E+02,1.64E-06,1.81E-03,4.83E+02,6.17E-01,1.19E+04
