sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
73,3.51E-07,8.00E-08,9.21E+20,1.31E-06,4.03E-07,5.59E-04,,1.40E+00,7.51E+04,,9.60E-03,FALSE,3.75E+03,1.75E+00,2.20E+02,4.54E+02,9.07E+01,5.60E+02,1.16E-06,7.51E+04,7.51E+04,7.55E-01,7.42E+03
74,3.81E-07,8.00E-08,8.03E+20,1.31E-06,4.05E-07,8.72E-04,,2.18E+00,7.49E+04,,1.75E-02,FALSE,3.75E+03,2.72E+00,2.20E+02,4.62E+02,9.18E+01,5.69E+02,1.19E-06,7.49E+04,7.49E+04,7.44E-01,7.64E+03
75,4.61E-07,9.00E-08,1.23E+20,1.31E-06,6.72E-07,6.73E-04,8.74E-01,5.88E-01,1.73E+01,4.43E+03,5.74E+01,TRUE,8.63E-01,7.35E-01,6.43E-01,4.16E+02,9.39E+01,5.25E+02,1.81E-06,3.84E-04,4.83E+02,5.81E-01,1.28E+04
76,4.81E-07,1.00E-07,1.47E+20,1.31E-06,2.63E-08,2.83E-04,9.60E-01,2.71E-01,4.92E+01,6.56E+03,2.22E+01,TRUE,2.46E+00,3.39E-01,3.09E+00,4.91E+02,9.71E+01,6.02E+02,5.34E-07,2.90E+00,4.43E+02,1.20E+00,9.50E+03
77,4.59E-07,9.00E-08,8.96E+19,1.31E-06,7.28E-07,6.50E-04,8.78E-01,5.71E-01,1.79E+01,4.93E+03,5.47E+01,TRUE,8.97E-01,7.13E-01,6.56E-01,4.04E+02,9.39E+01,5.13E+02,1.91E-06,1.90E-04,4.75E+02,5.58E-01,1.39E+04
78,4.59E-07,9.00E-08,9.39E+19,1.31E-06,7.26E-07,6.55E-04,8.77E-01,5.74E-01,1.78E+01,4.86E+03,5.53E+01,TRUE,8.90E-01,7.18E-01,6.54E-01,4.22E+02,9.40E+01,5.30E+02,1.91E-06,1.99E-04,4.77E+02,5.58E-01,1.38E+04
79,4.59E-07,9.00E-08,9.11E+19,1.31E-06,7.35E-07,6.50E-04,8.78E-01,5.70E-01,1.79E+01,4.93E+03,5.48E+01,TRUE,8.97E-01,7.13E-01,6.57E-01,4.12E+02,9.65E+01,5.23E+02,1.93E-06,1.88E-04,4.77E+02,5.55E-01,1.39E+04
80,5.00E-07,7.00E-08,1.35E+20,1.31E-06,1.82E-07,1.00E-04,1.16E+00,1.16E-01,1.53E+02,8.23E+03,8.58E+00,TRUE,7.66E+00,1.45E-01,2.20E+01,3.52E+02,9.25E+01,4.59E+02,8.64E-07,4.11E-02,4.85E+02,8.69E-01,8.26E+03
81,4.44E-07,1.20E-07,3.33E+19,1.31E-06,3.37E-07,7.97E-04,,1.99E+00,8.31E+04,,2.33E+00,FALSE,4.16E+03,2.49E+00,1.25E+02,5.00E+02,9.62E+01,6.10E+02,1.12E-06,8.31E+04,8.31E+04,8.24E-01,1.78E+04
82,4.59E-07,9.00E-08,9.38E+19,1.31E-06,7.41E-07,6.44E-04,8.78E-01,5.66E-01,1.81E+01,4.95E+03,5.45E+01,TRUE,9.06E-01,7.07E-01,6.61E-01,4.03E+02,9.42E+01,5.11E+02,1.94E-06,1.89E-04,4.78E+02,5.53E-01,1.39E+04
83,4.57E-07,9.00E-08,8.61E+19,1.31E-06,7.43E-07,6.56E-04,8.77E-01,5.75E-01,1.78E+01,4.96E+03,5.52E+01,TRUE,8.88E-01,7.19E-01,6.53E-01,4.03E+02,9.40E+01,5.12E+02,1.94E-06,1.73E-04,4.76E+02,5.52E-01,1.42E+04
84,4.55E-07,9.00E-08,8.10E+19,1.31E-06,7.55E-07,6.53E-04,8.78E-01,5.73E-01,1.78E+01,5.04E+03,5.49E+01,TRUE,8.92E-01,7.17E-01,6.54E-01,3.94E+02,9.44E+01,5.03E+02,1.97E-06,1.38E-04,4.75E+02,5.47E-01,1.44E+04
85,4.76E-07,7.00E-08,8.56E+20,1.31E-06,6.23E-07,9.86E-04,8.48E-01,8.37E-01,1.10E+01,2.27E+03,1.15E+02,TRUE,5.49E-01,1.05E+00,6.97E-01,4.01E+02,9.23E+01,5.08E+02,1.72E-06,1.11E-04,6.91E+02,5.85E-01,8.90E+03
86,4.92E-07,7.00E-08,1.00E+21,1.31E-06,8.00E-07,1.00E-03,8.49E-01,8.49E-01,1.08E+01,2.43E+03,1.20E+02,TRUE,5.39E-01,1.06E+00,7.08E-01,4.00E+02,9.26E+01,5.07E+02,2.09E-06,7.01E-06,7.09E+02,5.20E-01,9.75E+03
87,3.91E-07,8.00E-08,8.38E+20,1.31E-06,5.33E-07,4.23E-04,,1.06E+00,7.50E+04,,8.62E-03,FALSE,3.75E+03,1.32E+00,2.20E+02,4.29E+02,9.19E+01,5.36E+02,1.46E-06,7.50E+04,7.50E+04,6.59E-01,8.29E+03
88,4.78E-07,8.00E-08,6.52E+20,1.31E-06,7.14E-07,9.29E-04,,2.32E+00,7.08E+04,,1.93E-01,FALSE,3.54E+03,2.90E+00,2.09E+02,4.22E+02,9.18E+01,5.29E+02,1.91E-06,7.08E+04,7.08E+04,5.59E-01,9.81E+03
89,4.94E-07,7.00E-08,1.00E+21,1.31E-06,5.69E-07,1.00E-03,8.48E-01,8.48E-01,1.08E+01,2.22E+03,1.19E+02,TRUE,5.40E-01,1.06E+00,7.07E-01,4.01E+02,9.27E+01,5.08E+02,1.63E-06,3.57E-04,7.06E+02,6.08E-01,8.86E+03
90,5.00E-07,9.00E-08,1.00E+17,1.31E-06,0.00E+00,7.07E-04,1.01E+00,7.15E-01,1.57E+01,2.18E+03,3.26E+01,TRUE,7.83E-01,8.93E-01,7.06E-01,3.73E+02,9.38E+01,4.81E+02,5.00E-07,2.88E-03,2.38E+02,1.02E+00,5.44E+03
91,4.57E-07,9.00E-08,6.86E+19,1.31E-06,7.48E-07,6.38E-04,8.80E-01,5.61E-01,1.83E+01,5.28E+03,5.31E+01,TRUE,9.16E-01,7.01E-01,6.66E-01,3.92E+02,9.39E+01,5.01E+02,1.95E-06,1.32E-04,4.70E+02,5.49E-01,1.49E+04
92,4.58E-07,1.00E-07,5.72E+19,1.31E-06,7.57E-07,6.28E-04,8.84E-01,5.55E-01,1.86E+01,6.09E+03,5.18E+01,TRUE,9.30E-01,6.94E-01,6.73E-01,4.40E+02,9.63E+01,5.50E+02,1.97E-06,6.51E-05,4.64E+02,5.56E-01,1.66E+04
93,3.90E-07,1.10E-07,1.00E+21,1.31E-06,8.00E-07,1.55E-04,,3.88E-01,7.28E+04,,1.11E-03,FALSE,3.64E+03,4.85E-01,2.21E+02,5.15E+02,9.39E+01,6.23E+02,1.99E-06,7.28E+04,7.28E+04,5.74E-01,1.17E+04
94,4.58E-07,9.00E-08,6.92E+19,1.31E-06,7.43E-07,6.37E-04,8.80E-01,5.61E-01,1.83E+01,5.27E+03,5.31E+01,TRUE,9.17E-01,7.01E-01,6.66E-01,3.86E+02,9.44E+01,4.95E+02,1.94E-06,1.40E-04,4.70E+02,5.51E-01,1.48E+04
95,4.73E-07,7.00E-08,8.31E+20,1.31E-06,4.66E-07,6.95E-04,8.67E-01,6.02E-01,1.67E+01,2.72E+03,8.07E+01,TRUE,8.35E-01,7.53E-01,6.32E-01,3.82E+02,9.23E+01,4.89E+02,1.40E-06,1.74E-03,6.85E+02,6.63E-01,8.22E+03
96,4.65E-07,7.00E-08,1.00E+21,1.31E-06,5.81E-07,8.17E-04,8.58E-01,7.01E-01,1.38E+01,2.51E+03,9.73E+01,TRUE,6.90E-01,8.76E-01,6.22E-01,3.88E+02,9.36E+01,4.97E+02,1.63E-06,3.85E-04,7.05E+02,6.09E-01,8.68E+03
97,4.80E-07,7.00E-08,9.61E+20,1.31E-06,4.49E-07,8.21E-04,8.57E-01,7.03E-01,1.37E+01,2.39E+03,9.71E+01,TRUE,6.86E-01,8.79E-01,6.22E-01,3.94E+02,9.23E+01,5.00E+02,1.38E-06,2.29E-03,7.00E+02,6.74E-01,8.25E+03
98,4.60E-07,1.00E-07,6.46E+20,1.31E-06,1.21E-07,7.34E-04,8.64E-01,6.34E-01,1.80E+01,2.48E+03,7.09E+01,TRUE,9.01E-01,7.93E-01,7.20E-01,5.43E+02,1.00E+02,6.58E+02,7.01E-07,2.32E+00,5.59E+02,1.05E+00,7.42E+03
