V,n,p,neff_re,neff_im
0.0,97518477313885.69,132212275504227.64,2.848646090869429,2.0419160369330646e-09
0.10416666666666667,97518498329699.31,132212295938621.02,2.8486460820992416,2.0678992104866335e-09
0.20833333333333334,97518520103257.64,132212317148514.6,2.848646046203431,2.211452373665376e-09
0.3125,97518543418542.6,132212339927701.95,2.848645897463565,3.066847833142028e-09
0.4166666666666667,97518571376036.05,132212367390113.28,2.8486452847061847,8.389837787482162e-09
0.5208333333333334,97518624169529.72,132212419703722.3,2.848642616888849,4.397887523613172e-08
0.625,97518906356712.05,132212701304541.22,2.8486290004550305,3.0906784572510924e-07
0.7291666666666667,97521150037801.92,132214944039021.58,2.848556897350144,2.287875549697543e-06
0.8333333333333334,97537606779624.73,132231399447611.23,2.84818798285584,1.6219823199527294e-05
0.9375,97630330312951.9,132324121395387.53,2.8467057549441983,8.9130684481672e-05
1.0416666666666667,97867453581693.11,132561244366432.34,2.8438522229757472,0.0002558406668680067
1.1458333333333335,98151114301683.17,132844906397996.06,2.841032510989578,0.0004368786661462653
1.25,98419520696616.2,133113314545189.84,2.8386512435825275,0.0005976923397206118
1.3541666666666667,98665097915686.58,133358893637550.97,2.8366262574988426,0.000738755871247512
1.4583333333333335,98890113218086.92,133583910853292.0,2.834865153926361,0.0008641075633881387
1.5625,99097735858145.25,133791535421741.67,2.833303921818628,0.000977043538109951
1.6666666666666667,99290704748688.16,133984506247244.34,2.8318990025508253,0.0010799789033702713
1.7708333333333335,99471224121760.39,134165027558932.06,2.830619816551443,0.001174688594385986
1.875,99641053279531.97,134334858658080.2,2.8294441312690006,0.0012625058150872387
1.9791666666666667,99801606902070.77,134495414224612.89,2.828355271245857,0.001344455878539098
2.0833333333333335,99954035727579.5,134647844996845.27,2.8273403936861152,0.0014213445165051964
2.1875,100099287138876.17,134793098357784.67,2.8263893843021393,0.0014938169987108879
2.291666666666667,100238150070897.53,134931963242556.5,2.825494125525692,0.0015623986414382224
2.3958333333333335,100371288444690.28,135065103572368.62,2.8246479961511852,0.001627523245508789
2.5,100499266321638.83,135193083408722.27,2.823845519669712,0.001689553522355998
