sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
81,4.438157e-07,1.200000e-07,3.326978e+19,1.310000e-06,3.369725e-07,7.972874e-04,,1.993219e+00,8.313335e+04,,2.330217e+00,False,4.156667e+03,2.491523e+00,1.218458e+02,5.066392e+02,1.021144e+02,6.235283e+02,1.117761e-06,8.311902e+04,8.313335e+04,8.244625e-01,1.776868e+04
82,4.644827e-07,9.000000e-08,7.219875e+19,1.310000e-06,6.738517e-07,5.618150e-04,8.903520e-01,5.002131e-01,2.114423e+01,5.677813e+03,4.633243e+01,True,1.057212e+00,6.252663e-01,1.045023e+00,4.200237e+02,9.590695e+01,5.303529e+02,1.812186e-06,2.239105e-04,4.644586e+02,5.762084e-01,1.427600e+04
83,4.666409e-07,9.000000e-08,9.215612e+19,1.310000e-06,6.677833e-07,5.646918e-04,8.892992e-01,5.021800e-01,2.103787e+01,5.400945e+03,4.714761e+01,True,1.051893e+00,6.277250e-01,1.035236e+00,4.186240e+02,9.801857e+01,5.314425e+02,1.802207e-06,2.980120e-04,4.710452e+02,5.801778e-01,1.350709e+04
84,4.701565e-07,9.000000e-08,1.209714e+20,1.310000e-06,6.408325e-07,4.358847e-04,9.153297e-01,3.989783e-01,2.801546e+01,6.344239e+03,3.698371e+01,True,1.400773e+00,4.987228e-01,1.790820e+00,4.187125e+02,9.600768e+01,5.294315e+02,1.751821e-06,5.127446e-04,4.797816e+02,5.921575e-01,1.265634e+04
85,4.761362e-07,7.000000e-08,8.561655e+20,1.310000e-06,6.227576e-07,9.860767e-04,8.484458e-01,8.366326e-01,1.097662e+01,2.265906e+03,1.153870e+02,True,5.488308e-01,1.045791e+00,3.804615e-01,4.203617e+02,9.191566e+01,5.274048e+02,1.721651e-06,1.107529e-04,6.908636e+02,5.852894e-01,8.894617e+03
86,4.723613e-07,7.000000e-08,9.057361e+20,1.310000e-06,6.621318e-07,1.000000e-03,8.480092e-01,8.480092e-01,1.078672e+01,2.270003e+03,1.179004e+02,True,5.393362e-01,1.060012e+00,3.741576e-01,4.078178e+02,9.416884e+01,5.160429e+02,1.796625e-06,7.023572e-05,6.968018e+02,5.690210e-01,9.034794e+03
87,3.905529e-07,8.000000e-08,8.378348e+20,1.310000e-06,5.331616e-07,4.225545e-04,,1.056386e+00,7.495775e+04,,8.526972e-03,False,3.747887e+03,1.320483e+00,2.143449e+02,4.483296e+02,9.079969e+01,5.531981e+02,1.456876e-06,7.495761e+04,7.495775e+04,6.590382e-01,8.294309e+03
88,4.783344e-07,8.000000e-08,6.521245e+20,1.310000e-06,7.140814e-07,9.293743e-04,,2.323436e+00,7.077957e+04,,1.944537e-01,False,3.538979e+03,2.904295e+00,2.029264e+02,4.367096e+02,9.082720e+01,5.420088e+02,1.906497e-06,7.077919e+04,7.077957e+04,5.596344e-01,9.806247e+03
89,4.800741e-07,9.000000e-08,6.066760e+19,1.310000e-06,6.273319e-07,4.627506e-04,9.105243e-01,4.213457e-01,2.619525e+01,6.842641e+03,3.765692e+01,True,1.309763e+00,5.266822e-01,1.571670e+00,4.160328e+02,9.382417e+01,5.242005e+02,1.734738e-06,2.895231e-04,4.574363e+02,5.921813e-01,1.459772e+04
90,4.674155e-07,9.000000e-08,8.980914e+19,1.310000e-06,6.837817e-07,5.661956e-04,8.892234e-01,5.034744e-01,2.097206e+01,5.453780e+03,4.733724e+01,True,1.048603e+00,6.293430e-01,1.029219e+00,4.083663e+02,9.592858e+01,5.192225e+02,1.834979e-06,2.413117e-04,4.717742e+02,5.725954e-01,1.369508e+04
91,4.746977e-07,7.000000e-08,9.300938e+20,1.310000e-06,6.022528e-07,1.000000e-03,8.476818e-01,8.476818e-01,1.078858e+01,2.215958e+03,1.181179e+02,True,5.394292e-01,1.059602e+00,3.741612e-01,4.147684e+02,9.190240e+01,5.212252e+02,1.679203e-06,1.833984e-04,6.982654e+02,5.919844e-01,8.817795e+03
92,4.731823e-07,7.000000e-08,8.961706e+20,1.310000e-06,6.259579e-07,1.000000e-03,8.478045e-01,8.478045e-01,1.078773e+01,2.237684e+03,1.176659e+02,True,5.393867e-01,1.059756e+00,3.741524e-01,4.219371e+02,9.390247e+01,5.301762e+02,1.725098e-06,1.134314e-04,6.952274e+02,5.841440e-01,8.893840e+03
93,4.691431e-07,9.000000e-08,4.760074e+17,1.310000e-06,6.582950e-09,7.263524e-04,9.428845e-01,6.848665e-01,1.516833e+01,2.907330e+03,5.192648e+01,True,7.584166e-01,8.560831e-01,5.909640e-01,4.117013e+02,9.403887e+01,5.198712e+02,4.823090e-07,2.103454e-02,3.945533e+02,1.096918e+00,8.929335e+03
94,4.848184e-07,7.000000e-08,9.200974e+20,1.310000e-06,6.452604e-07,9.800737e-04,8.488960e-01,8.319807e-01,1.105912e+01,2.312360e+03,1.157885e+02,True,5.529559e-01,1.039976e+00,3.833391e-01,4.306474e+02,9.257559e+01,5.377958e+02,1.775339e-06,8.611932e-05,6.984306e+02,5.763581e-01,9.067706e+03
95,4.725138e-07,7.000000e-08,8.307967e+20,1.310000e-06,4.659712e-07,6.946815e-04,8.669026e-01,6.022212e-01,1.670060e+01,2.722810e+03,8.065437e+01,True,8.350298e-01,7.527765e-01,6.842146e-01,4.080115e+02,9.396117e+01,5.162830e+02,1.404456e-06,1.743146e-03,6.847381e+02,6.627564e-01,8.215719e+03
96,3.559907e-07,9.000000e-08,4.451559e+20,1.310000e-06,7.525365e-07,8.219685e-04,8.669499e-01,7.126056e-01,1.389343e+01,3.200234e+03,7.513972e+01,True,6.946715e-01,8.907570e-01,5.136565e-01,4.422722e+02,9.400840e+01,5.504766e+02,1.861064e-06,2.355945e-02,5.281088e+02,5.739935e-01,1.008434e+04
97,3.500000e-07,9.000000e-08,4.169238e+20,1.310000e-06,7.762809e-07,7.905596e-04,8.702399e-01,6.879765e-01,1.454243e+01,3.365174e+03,7.143508e+01,True,7.271217e-01,8.599707e-01,5.497903e-01,4.428976e+02,9.393320e+01,5.513655e+02,1.902562e-06,2.070680e-02,5.216149e+02,5.669329e-01,1.025685e+04
98,4.599562e-07,1.000000e-07,6.455958e+20,1.310000e-06,1.207536e-07,7.341276e-04,8.641555e-01,6.344004e-01,1.802376e+01,2.475109e+03,7.085639e+01,True,9.011880e-01,7.930005e-01,7.938108e-01,5.751642e+02,9.709063e+01,6.885161e+02,7.014634e-07,2.320469e+00,5.585494e+02,1.053111e+00,7.420091e+03
99,4.675030e-07,7.000000e-08,6.199259e+20,1.310000e-06,3.830885e-07,8.599971e-04,8.536445e-01,7.341318e-01,1.299323e+01,2.233241e+03,9.587243e+01,True,6.496617e-01,9.176648e-01,4.640652e-01,3.861952e+02,9.224634e+01,4.930411e+02,1.233680e-06,7.327047e-03,6.538180e+02,7.162182e-01,7.831018e+03
100,3.790612e-07,1.000000e-07,1.610975e+19,1.310000e-06,2.015350e-08,4.740219e-04,9.185854e-01,4.354296e-01,2.588509e+01,7.167010e+03,3.738480e+01,True,1.294254e+00,5.442870e-01,1.537210e+00,5.044949e+02,9.601148e+01,6.158298e+02,4.193682e-07,5.484983e-01,4.425180e+02,1.263565e+00,1.600445e+04
101,4.227265e-07,1.200000e-07,4.689109e+20,1.310000e-06,2.240550e-07,4.977746e-04,,1.244437e+00,6.941762e+04,,1.011278e-01,False,3.470881e+03,1.555546e+00,2.085706e+02,5.758245e+02,9.608637e+01,6.865958e+02,8.708365e-07,6.941719e+04,6.941762e+04,9.752999e-01,9.399368e+03
102,4.749733e-07,7.000000e-08,9.200411e+20,1.310000e-06,6.322827e-07,9.264426e-04,8.516168e-01,7.889741e-01,1.184972e+01,2.372008e+03,1.093584e+02,True,5.924862e-01,9.862176e-01,4.131984e-01,4.223796e+02,9.462220e+01,5.318832e+02,1.739539e-06,1.064307e-04,6.977487e+02,5.807350e-01,8.937844e+03
103,4.693039e-07,9.000000e-08,1.000000e+17,1.310000e-06,5.121209e-09,7.278267e-04,1.004122e+00,7.308266e-01,1.515717e+01,2.129921e+03,3.349358e+01,True,7.578586e-01,9.135332e-01,6.003690e-01,3.878074e+02,9.392370e+01,4.960856e+02,4.795463e-07,3.286966e-03,2.380160e+02,1.028175e+00,5.383326e+03
104,4.685584e-07,9.000000e-08,1.000000e+17,1.310000e-06,1.211952e-08,7.219123e-04,1.005973e+00,7.262245e-01,1.530075e+01,2.138835e+03,3.320014e+01,True,7.650375e-01,9.077806e-01,6.091608e-01,4.017400e+02,9.432299e+01,5.101003e+02,4.927975e-07,3.039728e-03,2.378398e+02,1.017868e+00,5.376622e+03
105,4.708933e-07,9.000000e-08,6.702901e+19,1.310000e-06,0.000000e+00,7.111323e-04,8.680784e-01,6.173186e-01,1.902401e+01,3.509984e+03,5.318301e+01,True,9.512003e-01,7.716482e-01,8.738479e-01,4.409595e+02,9.398039e+01,5.495192e+02,4.708933e-07,2.777193e+00,4.191188e+02,1.228047e+00,1.075090e+04
106,4.776846e-07,7.000000e-08,9.114779e+20,1.310000e-06,6.344621e-07,9.751654e-04,8.490693e-01,8.279830e-01,1.112821e+01,2.295077e+03,1.150087e+02,True,5.564104e-01,1.034979e+00,3.857514e-01,3.978886e+02,9.221015e+01,5.042362e+02,1.746609e-06,1.017281e-04,6.970532e+02,5.787349e-01,8.966082e+03
