sim_id,w_r,h_si,doping,lambda,S,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,is_valid,norm_loss,norm_vpil,cost,charge_time_s,fde_time_s,total_time_s,intrinsic_width_m,loss_min_dB_per_cm,loss_max_dB_per_cm,C_min_pF_per_cm,C_max_pF_per_cm
123,4.763623e-07,7.000000e-08,9.123662e+20,1.310000e-06,6.319103e-07,9.876750e-04,8.484359e-01,8.379790e-01,1.095457e+01,2.269080e+03,1.164941e+02,True,5.477287e-01,1.047474e+00,3.797261e-01,3.982293e+02,9.251656e+01,5.054701e+02,1.740183e-06,1.050542e-04,6.971210e+02,5.805288e-01,8.946328e+03
124,4.763598e-07,7.000000e-08,9.124576e+20,1.310000e-06,6.319048e-07,9.878486e-04,8.484275e-01,8.381180e-01,1.095218e+01,2.268772e+03,1.165144e+02,True,5.476090e-01,1.047647e+00,3.796446e-01,3.963740e+02,9.258042e+01,5.034504e+02,1.740169e-06,1.050674e-04,6.971198e+02,5.805025e-01,8.946213e+03
125,4.610327e-07,7.000000e-08,6.915597e+20,1.310000e-06,3.843664e-07,8.849468e-04,8.522059e-01,7.541569e-01,1.255295e+01,2.163914e+03,1.000770e+02,True,6.276474e-01,9.426961e-01,4.434147e-01,3.826079e+02,9.430478e+01,4.911817e+02,1.229766e-06,8.362775e-03,6.645620e+02,7.183385e-01,7.775959e+03
126,4.633947e-07,7.000000e-08,6.672388e+20,1.310000e-06,3.559432e-07,8.444862e-04,8.544022e-01,7.215308e-01,1.328644e+01,2.213153e+03,9.496480e+01,True,6.643222e-01,9.019136e-01,4.785364e-01,3.797359e+02,9.392230e+01,4.879156e+02,1.175281e-06,9.865714e-03,6.603191e+02,7.366543e-01,7.674256e+03
127,4.763025e-07,7.000000e-08,9.126748e+20,1.310000e-06,6.311693e-07,9.883862e-04,8.483987e-01,8.385456e-01,1.094481e+01,2.266907e+03,1.165805e+02,True,5.472406e-01,1.048182e+00,3.793936e-01,3.753645e+02,9.264190e+01,4.820714e+02,1.738641e-06,1.055985e-04,6.971381e+02,5.806320e-01,8.941787e+03
128,4.685285e-07,7.000000e-08,8.868274e+20,1.310000e-06,5.452656e-07,9.324495e-04,8.507117e-01,7.932457e-01,1.176180e+01,2.258990e+03,1.093620e+02,True,5.880902e-01,9.915572e-01,4.095836e-01,3.915534e+02,9.264521e+01,4.982629e+02,1.559060e-06,5.524848e-04,6.926680e+02,6.236970e-01,8.528272e+03
129,4.688763e-07,9.000000e-08,1.958886e+19,1.310000e-06,0.000000e+00,7.096796e-04,8.735673e-01,6.199529e-01,1.702494e+01,4.644697e+03,5.449219e+01,True,8.512468e-01,7.749411e-01,7.122123e-01,4.002066e+02,9.779599e+01,5.130095e+02,4.688763e-07,8.551669e-01,4.295517e+02,1.204394e+00,1.468506e+04
130,4.733871e-07,7.000000e-08,9.037256e+20,1.310000e-06,5.970622e-07,9.699980e-04,8.490995e-01,8.236248e-01,1.120281e+01,2.257993e+03,1.141729e+02,True,5.601405e-01,1.029531e+00,3.883750e-01,3.986144e+02,9.377377e+01,5.070493e+02,1.667512e-06,2.085730e-04,6.954856e+02,5.971030e-01,8.781416e+03
131,4.756267e-07,7.000000e-08,9.119519e+20,1.310000e-06,6.255514e-07,9.877644e-04,8.483960e-01,8.380154e-01,1.095351e+01,2.261019e+03,1.164597e+02,True,5.476753e-01,1.047519e+00,3.796831e-01,3.701749e+02,9.383129e+01,4.787889e+02,1.726729e-06,1.135451e-04,6.968157e+02,5.825156e-01,8.913122e+03
132,4.756412e-07,7.000000e-08,9.122998e+20,1.310000e-06,6.255823e-07,9.882231e-04,8.483735e-01,8.383823e-01,1.094726e+01,2.260384e+03,1.165219e+02,True,5.473628e-01,1.047978e+00,3.794712e-01,4.044113e+02,9.194373e+01,5.109772e+02,1.726806e-06,1.132200e-04,6.968708e+02,5.827272e-01,8.913783e+03
133,4.756551e-07,7.000000e-08,9.124581e+20,1.310000e-06,6.256640e-07,9.885134e-04,8.483600e-01,8.386152e-01,1.094328e+01,2.260006e+03,1.165580e+02,True,5.471638e-01,1.048269e+00,3.793362e-01,4.085095e+02,9.385617e+01,5.172678e+02,1.726983e-06,1.131100e-04,6.968829e+02,5.827556e-01,8.914223e+03
134,4.756678e-07,7.000000e-08,9.126239e+20,1.310000e-06,6.257442e-07,9.887965e-04,8.483470e-01,8.388426e-01,1.093940e+01,2.259618e+03,1.165912e+02,True,5.469701e-01,1.048553e+00,3.792051e-01,3.900383e+02,9.378132e+01,4.990190e+02,1.727156e-06,1.130022e-04,6.968817e+02,5.827447e-01,8.914284e+03
135,3.826619e-07,1.000000e-07,7.417647e+20,1.310000e-06,4.930419e-07,6.914820e-04,8.727946e-01,6.035217e-01,1.676219e+01,3.107132e+03,6.892621e+01,True,8.381094e-01,7.544021e-01,6.890969e-01,4.992572e+02,9.850881e+01,6.121276e+02,1.368746e-06,2.480649e-02,5.765783e+02,7.141647e-01,8.890956e+03
136,4.756913e-07,7.000000e-08,9.125764e+20,1.310000e-06,6.260193e-07,9.891823e-04,8.483287e-01,8.391518e-01,1.093411e+01,2.259492e+03,1.166547e+02,True,5.467054e-01,1.048940e+00,3.790256e-01,3.899169e+02,9.382326e+01,4.989496e+02,1.727730e-06,1.127047e-04,6.970045e+02,5.832537e-01,8.918417e+03
