sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
58,4.658962e-07,1.300000e-07,5.293756e+20,3.663546e-07,1.310000e-06,3.282169e-04,9.448606e-01,3.101192e-01,4.052531e+01,6.853024e+03,3.384652e+01,3.710205e+00
59,4.716430e-07,1.300000e-07,5.887715e+20,3.795050e-07,1.310000e-06,3.411103e-04,9.419072e-01,3.212942e-01,3.869424e+01,6.763057e+03,3.563872e+01,3.384929e+00
60,3.877791e-07,1.200000e-07,4.178213e+20,6.711953e-07,1.310000e-06,8.713805e-04,,2.178451e+00,6.993064e+04,,4.274263e-01,1.896044e+02
61,4.785068e-07,1.100000e-07,9.112469e+19,4.888997e-07,1.310000e-06,4.036626e-04,,1.009156e+00,8.008890e+04,,8.247640e-01,1.694133e+02
62,4.021300e-07,1.000000e-07,5.151947e+20,4.156513e-08,1.310000e-06,6.060073e-04,8.763555e-01,5.310778e-01,3.135090e+01,2.605247e+03,5.675286e+01,2.255547e+00
63,4.696405e-07,1.000000e-07,1.000000e+17,0.000000e+00,1.310000e-06,7.167057e-04,1.002429e+00,7.184463e-01,1.543895e+01,2.446348e+03,3.463940e+01,6.169632e-01
64,4.689732e-07,1.000000e-07,2.766521e+18,1.074477e-09,1.310000e-06,7.301096e-04,8.932767e-01,6.521900e-01,1.545678e+01,4.594019e+03,6.562620e+01,6.040134e-01
65,4.700081e-07,9.000000e-08,6.735217e+19,6.964708e-07,1.310000e-06,5.116860e-04,8.998121e-01,4.604212e-01,2.345172e+01,6.297704e+03,4.226237e+01,1.270586e+00
66,4.806243e-07,1.100000e-07,2.710910e+20,2.188835e-07,1.310000e-06,5.331266e-04,,1.332817e+00,7.395339e+04,,3.749752e-01,1.925081e+02
67,4.827029e-07,9.000000e-08,9.842480e+20,7.763221e-07,1.310000e-06,3.752142e-04,9.384776e-01,3.521301e-01,3.291450e+01,5.985704e+03,4.099741e+01,2.456944e+00
68,4.729134e-07,9.000000e-08,7.458686e+19,6.781247e-07,1.310000e-06,4.904567e-04,9.037778e-01,4.432638e-01,2.458461e+01,6.376940e+03,4.057765e+01,1.390607e+00
69,4.645555e-07,9.000000e-08,5.593510e+19,6.372966e-07,1.310000e-06,5.205819e-04,8.983186e-01,4.676484e-01,2.300052e+01,6.246762e+03,4.225588e+01,1.224475e+00
70,4.687719e-07,9.000000e-08,5.796327e+19,6.535006e-07,1.310000e-06,4.956122e-04,9.033738e-01,4.477231e-01,2.428594e+01,6.530050e+03,4.040302e+01,1.358387e+00
71,3.640259e-07,8.000000e-08,4.734302e+20,8.539009e-09,1.310000e-06,4.466285e-04,,1.116571e+00,7.555240e+04,,8.341450e-03,2.143566e+02
72,4.719726e-07,9.000000e-08,1.243576e+20,6.427739e-07,1.310000e-06,5.405316e-04,8.926713e-01,4.825171e-01,2.210710e+01,5.261740e+03,4.600173e+01,1.136007e+00
73,3.513596e-07,8.000000e-08,9.206780e+20,4.031750e-07,1.310000e-06,5.587583e-04,,1.396896e+00,7.507004e+04,,9.756938e-03,2.142671e+02
74,3.812446e-07,8.000000e-08,8.029095e+20,4.048834e-07,1.310000e-06,8.718247e-04,,2.179562e+00,7.492601e+04,,1.612106e-02,2.138648e+02
75,4.716223e-07,9.000000e-08,9.279048e+19,6.431137e-07,1.310000e-06,5.114182e-04,8.985888e-01,4.595547e-01,2.349386e+01,5.819921e+03,4.255781e+01,1.274912e+00
76,4.809227e-07,1.000000e-07,1.474276e+20,2.631898e-08,1.310000e-06,2.828569e-04,9.595982e-01,2.714290e-01,4.923321e+01,6.558155e+03,2.222670e+01,5.465307e+00
77,4.601590e-07,9.000000e-08,1.164088e+20,6.817964e-07,1.310000e-06,5.560412e-04,8.904587e-01,4.951318e-01,2.141192e+01,5.255824e+03,4.730278e+01,1.069864e+00
78,4.682144e-07,9.000000e-08,6.328810e+19,6.722991e-07,1.310000e-06,5.978768e-04,8.850720e-01,5.291640e-01,1.971127e+01,5.521510e+03,4.904816e+01,9.179538e-01
79,4.237368e-07,1.100000e-07,6.034772e+20,1.124276e-08,1.310000e-06,1.486478e-04,,3.716194e-01,6.679389e+04,,1.292966e-02,2.140664e+02
80,4.665073e-07,9.000000e-08,8.478676e+19,6.706815e-07,1.310000e-06,5.580213e-04,8.905828e-01,4.969642e-01,2.131450e+01,5.545509e+03,4.638061e+01,1.060782e+00
81,4.438157e-07,1.200000e-07,3.326978e+19,3.369725e-07,1.310000e-06,7.972874e-04,,1.993219e+00,8.313335e+04,,2.330217e+00,1.218458e+02
82,4.644827e-07,9.000000e-08,7.219875e+19,6.738517e-07,1.310000e-06,5.618150e-04,8.903520e-01,5.002131e-01,2.114423e+01,5.677813e+03,4.633243e+01,1.045023e+00
83,4.666409e-07,9.000000e-08,9.215612e+19,6.677833e-07,1.310000e-06,5.646918e-04,8.892992e-01,5.021800e-01,2.103787e+01,5.400945e+03,4.714761e+01,1.035236e+00
84,4.701565e-07,9.000000e-08,1.209714e+20,6.408325e-07,1.310000e-06,4.358847e-04,9.153297e-01,3.989783e-01,2.801546e+01,6.344239e+03,3.698371e+01,1.790820e+00
